SMILES,H_count,C_count,N_count,O_count,F_count
CCCCC(C)C#N,13,7,1,0,0
CC1=C(OC=N1)C#N,4,5,2,1,0
CC1COC(C)C1C,14,7,0,1,0
CC1=CN=NN1C=O,5,4,3,1,0
CCC12C3CC1OC23,10,7,0,1,0
OC1CC2OC1C=C2,8,6,0,2,0
CCOCCN1CC1,13,6,1,1,0
CC12CC1C1(C)NC21,11,7,1,0,0
CC(C#N)C(C)(C)C,13,7,1,0,0
CN1N=CC=CC1=N,7,5,3,0,0
CNC(=O)C(C)=NO,8,4,2,2,0
COCC(=O)CC#C,8,6,0,2,0
O=COCC(=O)C=O,4,4,0,4,0
NC(CC1CO1)C#N,8,5,2,1,0
COC12CC1OC2C,10,6,0,2,0
N=C1OC=C(O1)C=O,3,4,1,3,0
CC(O)(CC=O)C#C,8,6,0,2,0
CC1(COC=O)CN1,9,5,1,2,0
CCCC(=O)CCO,12,6,0,2,0
OCCC1CCOC1,12,6,0,2,0
CCN1C(C)C1C#C,11,7,1,0,0
O=CC#CCC1CO1,6,6,0,2,0
C1CC1C12CC(C1)O2,10,7,0,1,0
O=CCCOC1CC1,10,6,0,2,0
COCC(=O)COC,10,5,0,3,0
OCC(O)(CO)CO,10,4,0,4,0
COCC1CC=CC1,12,7,0,1,0
CN(C=O)C1COC1,9,5,1,2,0
O=CC12CC3C1OC23,6,6,0,2,0
CC(C)(C#N)C1CN1,10,6,2,0,0
C#CC12CN1C=NC2,6,6,2,0,0
CC(O)C1=NON=C1,6,4,2,2,0
O=CC#CC(=O)C=O,2,5,0,3,0
OC12CN(C1)CC2=O,7,5,1,2,0
NC1=NC=CC(=O)O1,4,4,2,2,0
CCC1CC(C)C1=O,12,7,0,1,0
CC(C)C(C)C1CO1,14,7,0,1,0
CCC1=NC=NN=N1,6,4,4,0,0
COC1=CNC=C1O,7,5,1,2,0
[NH3+]CC1=C([O-])OC=C1,7,5,1,2,0
CC(O)(CO)C1CC1,12,6,0,2,0
OC1CC2CC2C1O,10,6,0,2,0
ON=C1CC2CC2C1,9,6,1,1,0
CC(CO)C(O)C#C,10,6,0,2,0
CC1C(C=O)C1(C)O,10,6,0,2,0
CC#CC(=O)C(N)=O,5,5,1,2,0
O=C1CNC2CC1C2,9,6,1,1,0
CC12CCC1N2C=O,9,6,1,1,0
CC1=C(N=NO1)C#C,4,5,2,1,0
O=C1CC=CCC1=O,6,6,0,2,0
N#CC12C3C4C(C13)N24,4,6,2,0,0
COCC(=O)C1CC1,10,6,0,2,0
CC(CCC#C)C=O,10,7,0,1,0
N#CCN1N=NN=N1,2,2,6,0,0
CCC1=NC=NC=N1,7,5,3,0,0
O=CC12NC1C1OC21,5,5,1,2,0
CC1=NC=C(O1)C#C,5,6,1,1,0
FC1=CC=NC(=O)O1,2,4,1,2,1
CC(O)C1CC2CC12,12,7,0,1,0
O=N(=O)C1=NNC=N1,2,2,4,2,0
O=CCCCN1CC1,11,6,1,1,0
CCC1OC(=N)C1N,10,5,2,1,0
C1COCOC=NC1,9,5,1,2,0
CCCN1CCC1=O,11,6,1,1,0
O=C1C=C2CN3C2C13,5,6,1,1,0
NC1=CNC(CO)=C1,8,5,2,1,0
OC1=COC(C=O)=N1,3,4,1,3,0
CC1CC2(C)CCC12,14,8,0,0,0
O=CCOC1COC1,8,5,0,3,0
CC1(OC1C#N)C#C,5,6,1,1,0
CC1=CCC(C)(O)C1,12,7,0,1,0
CC(CC#C)CC#N,9,7,1,0,0
O=C1C=CC2COC12,6,6,0,2,0
OC1=CN=C(O)C=N1,4,4,2,2,0
OCCN1CCC1=O,9,5,1,2,0
CC1CCC1(O)CO,12,6,0,2,0
CC1OC2C1C2(C)C,12,7,0,1,0
CC1=COC=C1C#N,5,6,1,1,0
NC1=CC(O)=NN=C1,5,4,3,1,0
CC1OCCNC1=O,9,5,1,2,0
C#CC1OC1C1CO1,6,6,0,2,0
OCC1=CC=CC=C1,8,7,0,1,0
CC1=CC=NC=C1N,8,6,2,0,0
CC12C(O)C1N1CC21,9,6,1,1,0
CC1OC1C#CC#N,5,6,1,1,0
CC1C(C)C1(N)C#N,10,6,2,0,0
O=CC12CC(O1)C=C2,6,6,0,2,0
O=C1CC=CC=CC1,8,7,0,1,0
CCCC(OC)C=O,12,6,0,2,0
CC1C2CC1(C)C2=O,10,7,0,1,0
CC12OC3COC1C23,8,6,0,2,0
CC(=O)C(O)CC#C,8,6,0,2,0
CCC1C2CC1C2O,12,7,0,1,0
OC12CC3CC1CC23,10,7,0,1,0
NC(C#N)C#CC#N,3,5,3,0,0
CC(CNC=O)C#C,9,6,1,1,0
OCCC1COC1=N,9,5,1,2,0
N=COC1=COC=N1,4,4,2,2,0
OCC1C2CC(=O)N12,7,5,1,2,0
CCC(CC#N)OC,11,6,1,1,0
CC1CC=CCC1C,14,8,0,0,0
OCC1=NOC(=N)O1,4,3,2,3,0
CC1CC11COC1C,12,7,0,1,0
OCCC1=NOC=C1,7,5,1,2,0
OC(CCC=O)C#N,7,5,1,2,0
CCC(O)(CO)C#C,10,6,0,2,0
CCC1NC1C(C)O,13,6,1,1,0
CC1(CO)OCC=C1,10,6,0,2,0
CC1C2CC1(C2)C=O,10,7,0,1,0
C1OC1C12CN(C1)C2,9,6,1,1,0
CC(C=O)C(C)C#C,10,7,0,1,0
CC1OCC2C1N2C,11,6,1,1,0
CCNC(=O)C(N)=N,9,4,3,1,0
CN1CC2OCCC12,11,6,1,1,0
CCC1CC(O)CO1,12,6,0,2,0
CC1OCOC1C=O,8,5,0,3,0
O=C1NC2C(C#N)C12,4,5,2,1,0
FC1=COC(=O)C=C1,3,5,0,2,1
CC(C)C(=O)N1CC1,11,6,1,1,0
CC#CCC1OC1C,10,7,0,1,0
OC1CCN2CC2C1,11,6,1,1,0
CCC1=CNC=C1N,10,6,2,0,0
OCC(O)C(O)CO,10,4,0,4,0
CC1(NCC1O)C#N,8,5,2,1,0
C#CC12CC=CC1N2,7,7,1,0,0
OC1CCC2CC12O,10,6,0,2,0
OCC1CCC(O)C1,12,6,0,2,0
CC1CCC1(C)C=O,12,7,0,1,0
CCCC1(CN1)C#N,10,6,2,0,0
CCC12OC3C1CC23,10,7,0,1,0
CCN1CC1CC#N,10,6,2,0,0
NC(=O)CCOC=O,7,4,1,3,0
CC1(CO)OCC1=O,8,5,0,3,0
C1NC1C1CN=CO1,8,5,2,1,0
CC1NC1C(O)CO,11,5,1,2,0
CC1OC2CC=CC12,10,7,0,1,0
O=C1CC2CN3C2C13,7,6,1,1,0
NC1=CN=NN1C=O,4,3,4,1,0
CC1CN2C=CC=C12,9,7,1,0,0
C1OC2C3C4OC13C24,6,6,0,2,0
COC(C)C(=O)C#C,8,6,0,2,0
CC(C)(O)C(N)C#N,10,5,2,1,0
CCC1=CN(C)C=N1,10,6,2,0,0
[NH3+]CC1=CC=C([O-])O1,7,5,1,2,0
COC(C#N)C(C)O,9,5,1,2,0
O=CNC1=NOC=C1,4,4,2,2,0
C1CC2=NNC=C2O1,6,5,2,1,0
CC(C)C(O)CC=O,12,6,0,2,0
CC(C)N1C=NN=C1,9,5,3,0,0
O=CC12CC1CCO2,8,6,0,2,0
C#CC1C2CC1CC2,10,8,0,0,0
CCC(CC#N)C#N,8,6,2,0,0
CC(=O)N(C=N)C=N,7,4,3,1,0
CCC(C#N)N(C)C,12,6,2,0,0
OCCN1N=CN=N1,6,3,4,1,0
CC1(CC1O)OC=N,9,5,1,2,0
N#CC#CCC1CN1,6,6,2,0,0
CCNC(C=O)C#N,8,5,2,1,0
O=C1CC2OC2CN1,7,5,1,2,0
CC1OC11CC2NC12,9,6,1,1,0
CC(C)(O)CC1CO1,12,6,0,2,0
O=C(CCC#C)C#N,5,6,1,1,0
CC(C)(C)C(O)CO,14,6,0,2,0
CC12COC(O1)C=C2,8,6,0,2,0
CC1CCCCC1=O,12,7,0,1,0
CCC1C=CNC1=O,9,6,1,1,0
OC12CC1OC2C#C,6,6,0,2,0
CC1C2N3CC2(C)C13,11,7,1,0,0
C1C2CCC3OC2C13,10,7,0,1,0
CC1(NC1C#C)C#N,6,6,2,0,0
CC12CC(O1)C2C#N,7,6,1,1,0
O=COC12CC1OC2,6,5,0,3,0
CC1N2C3CC3C12C,11,7,1,0,0
CCC1CC1(C)C=O,12,7,0,1,0
OC12CC1(O)C(=O)C2,6,5,0,3,0
C[NH2+]CC(C)C([O-])=O,11,5,1,2,0
CCC12CC(=O)C1O2,8,6,0,2,0
N=C1CCCOCO1,9,5,1,2,0
CC(O)C1CC(=O)N1,9,5,1,2,0
C1CC2=NNC=C2N1,7,5,3,0,0
CC1CC2=NC=CN12,8,6,2,0,0
O=CC12CC1C(=O)N2,5,5,1,2,0
CC1C2CC1(O)CC2,12,7,0,1,0
CC1OC1(C)CC#N,9,6,1,1,0
CN1C=C(C)C(O)=N1,8,5,2,1,0
CCC1CC=CCO1,12,7,0,1,0
CC1CC=CC2CC12,12,8,0,0,0
CNC12CC1OC2=O,7,5,1,2,0
OCCN=C1CCO1,9,5,1,2,0
OC12C3NC(C13)C2=O,5,5,1,2,0
CC(C#N)(C#N)C#N,3,5,3,0,0
COCC(O)C(C)O,12,5,0,3,0
COCCC(C)=NO,11,5,1,2,0
NC1=CC(O)=C(N)O1,6,4,2,2,0
COC1CC(C1)C#C,10,7,0,1,0
ON=C1CC=CC1O,7,5,1,2,0
CC1OC2(CO)CC12,10,6,0,2,0
NCC(N)(C#C)C#N,7,5,3,0,0
CCN1CCNC1=O,10,5,2,1,0
N#CC12OC3C1NC23,4,5,2,1,0
CN1CCOCC1=O,9,5,1,2,0
CCC1CC1N1CC1,13,7,1,0,0
N=C1OCC2COC12,7,5,1,2,0
O=CCC1CC1C=O,8,6,0,2,0
O=C1CCC(O1)C#N,5,5,1,2,0
OCC(=O)CN1CC1,9,5,1,2,0
CCC1(CO)CN1C,13,6,1,1,0
COCC(C)(O)C=O,10,5,0,3,0
CC1(C)OCC11CC1,12,7,0,1,0
CC1CC=CC=CC1,12,8,0,0,0
C1C2C3CCOC1C23,10,7,0,1,0
[NH2+]=C1O[C-](C=C1)C#N,4,5,2,1,0
C1CC2OCCCC12,12,7,0,1,0
CC(O)C1CN2CC12,11,6,1,1,0
CC(=O)C1(C)CC1O,10,6,0,2,0
CC1=CC(C)(C)CC1,14,8,0,0,0
COC1(C)CCC1C,14,7,0,1,0
CNC1=C(O)NC=C1,8,5,2,1,0
CC(C)C12CN(C1)C2,13,7,1,0,0
OC1COC1C1CC1,10,6,0,2,0
C1NC1C1=CNN=C1,7,5,3,0,0
CC1C2NC2C2NC12,10,6,2,0,0
C1CC2=CCOCC12,10,7,0,1,0
FC1=COC=CC1=N,4,5,1,1,1
C#CCC1=NCCO1,7,6,1,1,0
OCC1CC1(O)C#C,8,6,0,2,0
CC#CC1=CCCC1,10,8,0,0,0
CCC1(C)COCO1,12,6,0,2,0
COC1COC11CC1,10,6,0,2,0
C1C2C=CC3CC2C13,10,8,0,0,0
NC(CN1CC1)C#N,9,5,3,0,0
OC(CCC#N)C=O,7,5,1,2,0
CCN=COCC#N,8,5,2,1,0
OC1C2CCC1C2=O,8,6,0,2,0
CCCCOC(N)=O,11,5,1,2,0
CC1=CN=CC(=O)O1,5,5,1,2,0
CCC(C)(O)CC=O,12,6,0,2,0
OC12CN3C1C2C3=O,5,5,1,2,0
C1CC2=C(N1)NN=C2,7,5,3,0,0
C1CC11OC2CCC12,10,7,0,1,0
C1CC23CC(OC2)C13,10,7,0,1,0
NC1=NC(=O)NC=C1,5,4,3,1,0
CC(N)(C#N)C(N)=O,7,4,3,1,0
C1C=CN2N=NC=C12,5,5,3,0,0
OC1=CC=CC(=O)O1,4,5,0,3,0
CC1=CCCC1C=O,10,7,0,1,0
N=C1NC(C=O)=NO1,3,3,3,2,0
CC(C)C(C)CCO,16,7,0,1,0
COC1C(O)CC1=O,8,5,0,3,0
C1C2COC=NCC12,9,6,1,1,0
NC1=COC(=N)C=N1,5,4,3,1,0
CC(=NO)C#CC#C,5,6,1,1,0
OC1=C2CCN2N=C1,6,5,2,1,0
COCC1C(C)N1C,13,6,1,1,0
C1C2CC11C=CCN21,9,7,1,0,0
CC#CC(O)CC#N,7,6,1,1,0
CC1CC(=O)NC1C,11,6,1,1,0
CCC1(O)CC1C#N,9,6,1,1,0
NC1=CC(=O)NC=C1,6,5,2,1,0
NC1=CC=CN1C=O,6,5,2,1,0
CCNC1=COC=N1,8,5,2,1,0
C1OC=NCC2OC12,7,5,1,2,0
OC1C2CC1(O)C2=O,6,5,0,3,0
N#CCC1=COC=N1,4,5,2,1,0
CC1N=COC1C=O,7,5,1,2,0
CC1(O)CC1(O)C#N,7,5,1,2,0
CCC1OCC=C1C,12,7,0,1,0
C#CC1OCCCO1,8,6,0,2,0
FC1=NC(=N)OC=C1,3,4,2,1,1
CC1(O)CC(O)C1O,10,5,0,3,0
CC1=CC=C(N1)C=O,7,6,1,1,0
CC(C)(CO)OC=N,11,5,1,2,0
CC(CO)C(=O)C=O,8,5,0,3,0
CCOC1CC2OC12,10,6,0,2,0
CC(=O)NC1CC1O,9,5,1,2,0
COCCC(=O)CO,10,5,0,3,0
OC1CC2C(O)CC12,10,6,0,2,0
CN1C(O)=CC=C1O,7,5,1,2,0
CC12CCCCC1O2,12,7,0,1,0
CC(N)(CC#C)C#N,8,6,2,0,0
CC1(CO1)C(O)C=O,8,5,0,3,0
O=CC1=COC(=O)O1,2,4,0,4,0
N=C1OC(=O)NC=C1,4,4,2,2,0
CC(C)CC(C)CO,16,7,0,1,0
CCOCC(N)C#N,10,5,2,1,0
OC1=CC=C(N1)C#C,5,6,1,1,0
COC1=NNC=C1N,7,4,3,1,0
CC1CC2(CN2)C1=O,9,6,1,1,0
CN=C1NN=C(O)N1,6,3,4,1,0
CC1CC=CC2OC12,10,7,0,1,0
CC1C(C)(C)C1(C)O,14,7,0,1,0
CC1(COC1=N)C#N,6,5,2,1,0
[NH3+]C1COC1C([O-])=O,7,4,1,3,0
CC1C(CO)CC1=O,10,6,0,2,0
COC(C)C(C)=NO,11,5,1,2,0
CCC1(CC)CN1C,15,7,1,0,0
O=COC1=CN=CO1,3,4,1,3,0
CC1(CC1C=O)C#C,8,7,0,1,0
C1OC2CC1CC=C2,10,7,0,1,0
C1CC2OC3C(O1)C23,8,6,0,2,0
COCCC(C)(C)C,16,7,0,1,0
CNC(=O)N(C)C=N,9,4,3,1,0
C1C=CC2C3OC1C23,8,7,0,1,0
[NH3+]CC1=N[N-]C(O)=N1,6,3,4,1,0
OCC1CC1CC#N,9,6,1,1,0
CCC1=C(N)N=NN1,8,4,4,0,0
O=CC1CC2CN2C1,9,6,1,1,0
OC1CC2CC2C1=O,8,6,0,2,0
CC(C)COC(N)=O,11,5,1,2,0
COC1=NNC(=N)N1,6,3,4,1,0
CC12CC1(C)C1NC21,11,7,1,0,0
CC1(O)C2OCC12C,10,6,0,2,0
CNC(C)C(F)(F)F,8,4,1,0,3
CC1(O)CCCC1=O,10,6,0,2,0
N=C1C2OC2C2CN12,6,5,2,1,0
CC(O)C1NC1CO,11,5,1,2,0
OC1CC2(NC12)C#N,6,5,2,1,0
CCN1CC(=O)C1C,11,6,1,1,0
CC1=COC(C)=C1O,8,6,0,2,0
O=C1CCCOCO1,8,5,0,3,0
CC1(O)COCC=C1,10,6,0,2,0
C1OCC2=C1COC2,8,6,0,2,0
CC1=CC(CO)=NO1,7,5,1,2,0
CC(=O)C1C2CC1C2,10,7,0,1,0
O=CC1OCC1C#N,5,5,1,2,0
CCN1C=NC(N)=C1,9,5,3,0,0
OC1CC2CCC2=C1,10,7,0,1,0
CC1=CNN=C1C#N,5,5,3,0,0
O1C2C=CC3OC3C12,6,6,0,2,0
CC1C(O)CC=C1C,12,7,0,1,0
OCC1=CN=NN=N1,4,3,4,1,0
CCC1(CO)COC1,12,6,0,2,0
CCC(COC)C#N,11,6,1,1,0
CCOC(=N)C(N)=O,8,4,2,2,0
O=C1CC2COCC12,8,6,0,2,0
CC1NC11COC1=N,8,5,2,1,0
CC(=O)C12CN1CC2,9,6,1,1,0
NC1=NC=NC(N)=N1,5,3,5,0,0
CC1C(C=O)N1C=O,7,5,1,2,0
OC12CN=C3OC1C23,5,5,1,2,0
O=C1C(C#C)C2CN12,5,6,1,1,0
OC1C2C3N2C1C3=O,5,5,1,2,0
N#CCN1C=CC=C1,6,6,2,0,0
CC1(CO)CCC=C1,12,7,0,1,0
CCN1C=C(N)C=N1,9,5,3,0,0
CCCC1=NCCO1,11,6,1,1,0
COCC1CC(C)C1,14,7,0,1,0
CCC1=NOC(=O)O1,5,4,1,3,0
C1CC2(C1)CCC=C2,12,8,0,0,0
COC1CC(C)C1O,12,6,0,2,0
C#CC1(CO1)C1CC1,8,7,0,1,0
CC(C)C(C)(C)C#C,14,8,0,0,0
CC(C)(O)C1CCO1,12,6,0,2,0
CCC1C2C3CC3N12,11,7,1,0,0
NCC(NC=O)C#N,7,4,3,1,0
CC12C3C4N1C4(C)C23,9,7,1,0,0
O=CCC1OC1C#N,5,5,1,2,0
OCCC(O)C1CC1,12,6,0,2,0
O=C(C1CN1)C1CN1,8,5,2,1,0
ON=C1COC1C=O,5,4,1,3,0
O=C1CCCCOC1,10,6,0,2,0
OCC12NC1C1NC21,8,5,2,1,0
OCC1CC2CC1C2,12,7,0,1,0
O=CC1C2NC1C2=O,5,5,1,2,0
CC1NC11CCC=C1,11,7,1,0,0
CC(=O)C1COC=N1,7,5,1,2,0
COC1C(N)C1C#N,8,5,2,1,0
CCC12CC3C(O1)C23,10,7,0,1,0
CC(O)C1CCOC1,12,6,0,2,0
COC1C(C)C1CO,12,6,0,2,0
CC(O)C1COC1=O,8,5,0,3,0
N=C1ON=NN1C=O,2,2,4,2,0
CC1=CNC(=O)C=C1,7,6,1,1,0
CN1C2CC1(C2)C#C,9,7,1,0,0
CC1CCC1C(C)=O,12,7,0,1,0
CC(O)(CO)C1CO1,10,5,0,3,0
OC1=CNC=CC1=O,5,5,1,2,0
C1CC2CC=CC2=C1,10,8,0,0,0
CC1NC(=O)NC1=N,7,4,3,1,0
O1C=NC2=NON=C12,1,3,3,2,0
CCN1CC(C1)C#N,10,6,2,0,0
CN1C=C(C)C=C1O,9,6,1,1,0
O=C1NCC=CCO1,7,5,1,2,0
C#CCC1(CC1)C#N,7,7,1,0,0
CC1(NCC1=O)C=O,7,5,1,2,0
CC12C=CC3C1CC23,10,8,0,0,0
OCC12CN1CC=C2,9,6,1,1,0
CC(CO)C(O)C#N,9,5,1,2,0
C1CC23CCC(O2)C13,10,7,0,1,0
N=C1NC(=N)N=NO1,3,2,5,1,0
NC1=NOC(=N)C=N1,4,3,4,1,0
CC1OCC2C(O)C12,10,6,0,2,0
NC(CC(N)=O)C#N,7,4,3,1,0
O=CCOCCC#C,8,6,0,2,0
C1CC11C2OC1C=C2,8,7,0,1,0
O=C1CC2OCCC12,8,6,0,2,0
C#CCC#CC1CO1,6,7,0,1,0
CC(C)C(O)C(C)O,14,6,0,2,0
CC(C)C(C=O)C#C,10,7,0,1,0
OC1CC1CC1CO1,10,6,0,2,0
OCC12CC(C1)CC2,12,7,0,1,0
C1NC11CCC2OC12,9,6,1,1,0
CC1CCCCC=C1,14,8,0,0,0
OCC12CC1C(=N)O2,7,5,1,2,0
O=CC12OC3C1NC23,5,5,1,2,0
CC1NC1(C#C)C#N,6,6,2,0,0
NC1=CN(C=O)N=C1,5,4,3,1,0
COC(=O)N1CCC1,9,5,1,2,0
CC12CC(CC1=O)O2,8,6,0,2,0
C1NC1C1=CC=CO1,7,6,1,1,0
CC1CC2C3OC2C13,10,7,0,1,0
CN1C2C3NC2(C)C13,10,6,2,0,0
O=CC1C2C3CN1C23,7,6,1,1,0
CC1=CC(=O)C2CC12,8,7,0,1,0
O=C1CC(C=C1)C#C,6,7,0,1,0
N=C1NC=NOC1=N,4,3,4,1,0
CCC1OC1C1CC1,12,7,0,1,0
CC1=C(N)NC(O)=N1,7,4,3,1,0
CCC1CN=C(C)O1,11,6,1,1,0
O=COC1=CNC=N1,4,4,2,2,0
CC12COCC1(C)O2,10,6,0,2,0
C1C2CC1C1OC1C2,10,7,0,1,0
CCC(=O)C#CCO,8,6,0,2,0
OCC1CC(CO)O1,10,5,0,3,0
CN1C2C3NC2C13C,10,6,2,0,0
CCOC(C#C)C#N,7,6,1,1,0
COC1C2C3OC3C12,8,6,0,2,0
C#CCC1OCC=C1,8,7,0,1,0
CCC1(C)CC1(C)O,14,7,0,1,0
OC1C2C3C4C2C1N34,7,6,1,1,0
CC(C=O)C1OC1C,10,6,0,2,0
CC1CC(C)C(O)C1,14,7,0,1,0
CC12NC1C=CC2O,9,6,1,1,0
CCC(=O)CN1CC1,11,6,1,1,0
NC1C(O)COC1=O,7,4,1,3,0
CC(O)C(C)(C)C#N,11,6,1,1,0
O=C1NCC2OCC12,7,5,1,2,0
CC1C(O)C(C)C1O,12,6,0,2,0
CC1(CC1)C#CC#N,7,7,1,0,0
O=C1N=CN=NC=N1,2,3,4,1,0
CC1C2C1C1OCC21,10,7,0,1,0
CC1=CCCC1C#C,10,8,0,0,0
CC1OC2(C)C(O)C12,10,6,0,2,0
CC12CN1CC1OC21,9,6,1,1,0
CN1CC2(O)CC12C,11,6,1,1,0
CC(C)(CO)CC=O,12,6,0,2,0
CN=CNC(=O)CO,8,4,2,2,0
C1C2C1C1=CCCC21,10,8,0,0,0
CC1COCC11CN1,11,6,1,1,0
CC12CC(C)(C)C1N2,13,7,1,0,0
OC1=NN=C(F)C=C1,3,4,2,1,1
N#CC12CC3C(C1)C23,7,7,1,0,0
OC(CC1CO1)C#C,8,6,0,2,0
O=C1NCC1CC#N,6,5,2,1,0
CNC1=CC(O)=NO1,6,4,2,2,0
CC(OCC#N)C#C,7,6,1,1,0
NC1=NC(=O)C=NO1,3,3,3,2,0
OC1C2CC=CC1O2,8,6,0,2,0
O=COC1=NNC=C1,4,4,2,2,0
N=C1OC2CC3C2C13,7,6,1,1,0
CC1(CO)C2CCC12,12,7,0,1,0
CC1CC2(O)CC1C2,12,7,0,1,0
CC1=C(N=NN1)C#C,5,5,3,0,0
CC(O)C(C)OC=N,11,5,1,2,0
CCN(CC)CC#N,12,6,2,0,0
CCOC1CN2CC12,11,6,1,1,0
NC(=[NH2+])[C-](C#N)C#N,4,4,4,0,0
COCCNCC#N,10,5,2,1,0
CC1CC(CO1)C#C,10,7,0,1,0
O=C1CC2CCC2C1,10,7,0,1,0
OCC1(CCC1)C#C,10,7,0,1,0
OC(CC1CC1)C#N,9,6,1,1,0
CC(=NO)C1CC1O,9,5,1,2,0
CC1CC(O)(C1)C=O,10,6,0,2,0
COCC1=CN=CO1,7,5,1,2,0
OC1=NOC(=C1)C#C,3,5,1,2,0
CC(=[NH2+])NCC([O-])=O,8,4,2,2,0
CNC1=CNC(=O)O1,6,4,2,2,0
CC(OC=N)C(N)=O,8,4,2,2,0
O=C1C2C3C4C3N2C14,5,6,1,1,0
CC#CC1CN1C=O,7,6,1,1,0
O=C(C#N)C#CC#N,0,5,2,1,0
CC12CCN3C1CC23,11,7,1,0,0
CC1NC=CC1=NO,8,5,2,1,0
CNC(=O)C(=O)NC,8,4,2,2,0
OCC1CNC(=O)N1,8,4,2,2,0
CC(O)C1=CNN=C1,8,5,2,1,0
NC1=NC=NC(=N)O1,4,3,4,1,0
N=C1NC(=O)C2CN12,5,4,3,1,0
COC1CC1(O)CO,10,5,0,3,0
CC1CC11CN2CC12,11,7,1,0,0
CC(N)=[NH+]CC([O-])=O,8,4,2,2,0
CCC1C=CC2OC12,10,7,0,1,0
CCOC1C2CC1O2,10,6,0,2,0
OC(COC=N)C=O,7,4,1,3,0
CC12OCC3OC1C23,8,6,0,2,0
OC1(CC1)C#CC#N,5,6,1,1,0
CCCCCC(C)=O,14,7,0,1,0
C1C2COC3CC2C13,10,7,0,1,0
CC12NC1C1CC2O1,9,6,1,1,0
C1C2CC1C1CC2O1,10,7,0,1,0
O=C(C#C)C(=O)C#N,1,5,1,2,0
O=CC1CC(C1)C#C,8,7,0,1,0
CC1(O)CCC(O)C1,12,6,0,2,0
N#CC12C3CC1CN23,6,6,2,0,0
CC1C2NC(=O)OC12,7,5,1,2,0
CC#CC(C)CC#C,10,8,0,0,0
N#CC12CN3C1CC23,6,6,2,0,0
CC1=NC=CN1C=O,6,5,2,1,0
O=C1NC=CCCO1,7,5,1,2,0
CC(CCC#C)C#N,9,7,1,0,0
CC1(C#C)C2CCC12,10,8,0,0,0
CC1(C)N=COC1=O,7,5,1,2,0
OCC1CCC=CC1,12,7,0,1,0
C1NC1C1=CCCC1,11,7,1,0,0
CC1C(CO)N1C=O,9,5,1,2,0
CC#CC(O)C1CN1,9,6,1,1,0
CCOC(C=O)=NC,9,5,1,2,0
O=CNC1C2COC12,7,5,1,2,0
CC1(C)OC2CC1C2,12,7,0,1,0
CC1NC1C(C)(C)O,13,6,1,1,0
CCCC(=O)C1CN1,11,6,1,1,0
OCC1=NCC(=O)N1,6,4,2,2,0
C1OCC2N=COC12,7,5,1,2,0
FC1=NC(=N)N=CN1,3,3,4,0,1
NC1(CC#N)COC1,8,5,2,1,0
NC1C2CC2OC1=O,7,5,1,2,0
CC1=CC=CC(F)=N1,6,6,1,0,1
O=COC1=CC=NO1,3,4,1,3,0
O=C1CC2OCC2O1,6,5,0,3,0
C1OCC11COC=N1,7,5,1,2,0
CCC1N2CC1(O)C2,11,6,1,1,0
O=C1COCC2CC12,8,6,0,2,0
CC(C)(O)C#CC#C,8,7,0,1,0
CC12OC1CCC2O,10,6,0,2,0
O=C1C2NC3CN1C23,6,5,2,1,0
C1C=CC2CC=CC12,10,8,0,0,0
N=COC12CC(C1)C2,9,6,1,1,0
CN1N=CC=CC1=O,6,5,2,1,0
CCC(C#C)C(C)O,12,7,0,1,0
COCC(=O)N(C)C,11,5,1,2,0
NC1=CC(O)=C(O)N1,6,4,2,2,0
CC1CC2(C)COC12,12,7,0,1,0
O=C1C=CN=NC=C1,4,5,2,1,0
O=C1C2NC1C1NC21,6,5,2,1,0
CC1=CCC2CC1C2,12,8,0,0,0
OC12CC1(NC2)C#C,7,6,1,1,0
OCC1=CON=C1O,5,4,1,3,0
O=CC12OC3C1CC23,6,6,0,2,0
CN1CC1C#CC#C,7,7,1,0,0
N#CC1CC2NC2C1,8,6,2,0,0
OC1C2NCC(=O)C12,7,5,1,2,0
O=C1N=CC=CC=N1,4,5,2,1,0
N1C=NC2=NOC=C12,3,4,3,1,0
OC1(CC1)C(=O)C=O,6,5,0,3,0
OCC(=O)C1CCO1,8,5,0,3,0
CN=C1OCC11CO1,7,5,1,2,0
OCC1=NC=C(O)N1,6,4,2,2,0
CC(=O)C1CCCO1,10,6,0,2,0
CC12CCN1C(=O)C2,9,6,1,1,0
[O-]C(=O)CC1C[NH2+]C1,9,5,1,2,0
O=CC1(CC#N)CO1,5,5,1,2,0
O=CN1C2CC2C1=O,5,5,1,2,0
COCC(C)C1CC1,14,7,0,1,0
CCOC1(C)CCC1,14,7,0,1,0
C1OC2=NCCOC12,7,5,1,2,0
CCC#CC(O)C=O,8,6,0,2,0
COC=NC1CCC1,11,6,1,1,0
OC1(CCOC1)C#C,8,6,0,2,0
CC1=CN=NNC1=N,6,4,4,0,0
CCC(=O)OCC#N,7,5,1,2,0
C1OC11CCCC=C1,10,7,0,1,0
CC(O)(CC=O)C#N,7,5,1,2,0
O=C1COC(=O)OC1,4,4,0,4,0
CC1CC(O)C11CO1,10,6,0,2,0
O=C1OCCCCO1,8,5,0,3,0
N#CC1=NC=CN=C1,3,5,3,0,0
O=CNC1=NC=NO1,3,3,3,2,0
COC(=O)C#CC=O,4,5,0,3,0
